key,ja,en,zh
activerecord.attributes.user.current_sign_in_at,最新ログイン日時,Last login date and time,最新登录时间
activerecord.attributes.user.current_sign_in_ip,最新ログインIP,Latest Login IP,最新登录IP
activerecord.attributes.user.encrypted_password,パスワード,password,密码
activerecord.attributes.user.faicon,ban,ban,ban
activerecord.attributes.user.failed_attempts,失敗回数,Number of failures,失败次数
activerecord.attributes.user.last_sign_in_at,最終ログイン日時,Last login date and time,最新登录时间
activerecord.attributes.user.last_sign_in_ip,最終ログインIP,Last Login IP,最新登录IP
activerecord.attributes.user.locked_at,ロック日時,Lock date and time,锁定时间
activerecord.attributes.user.remember_created_at,作成時間,Creation time,创作时间
activerecord.attributes.user.reset_password_sent_at,リセットパスワード時間,Reset password time,重置密码时间
activerecord.attributes.user.reset_password_token,リセットパスワードトークン,Reset password token,重置密码令牌
activerecord.attributes.user.sign_in_count,ログイン回数,Number of logins,登录次数
activerecord.attributes.user.staff,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.user.unlock_token,ロック解除トークン,Unlock token,解锁令牌
activerecord.attributes.area.buildings,activerecord.models.building,activerecord.models.building,activerecord.models.building
activerecord.attributes.area.faicon,globe,globe,globe
activerecord.attributes.area.klasses,activerecord.models.klass,activerecord.models.klass,activerecord.models.klass
activerecord.attributes.area.province,activerecord.models.province,activerecord.models.province,activerecord.models.province
activerecord.attributes.building.address,アドレス,address,地址
activerecord.attributes.building.area,activerecord.models.area,activerecord.models.area,activerecord.models.area
activerecord.attributes.building.faicon,building,building,building
activerecord.attributes.course.course_category,activerecord.models.course_category,activerecord.models.course_category,activerecord.models.course_category
activerecord.attributes.course.faicon,code-fork,code-fork,code-fork
activerecord.attributes.course.katei,activerecord.models.katei,activerecord.models.katei,activerecord.models.katei
activerecord.attributes.course.klasses,activerecord.models.klass,activerecord.models.klass,activerecord.models.klass
activerecord.attributes.course.students,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.course.subjects,activerecord.models.subject,activerecord.models.subject,activerecord.models.subject
activerecord.attributes.course_category.courses,activerecord.models.course,activerecord.models.course,activerecord.models.course
activerecord.attributes.course_category.faicon,folder-open,folder-open,文件夹打开
activerecord.attributes.equipment.faicon,legal,legal,legal
activerecord.attributes.equipment/room_equipment.available,利用可能,Available,可以使用
activerecord.attributes.equipment/room_equipment.equipment,activerecord.models.equipment,activerecord.models.equipment,activerecord.models.equipment
activerecord.attributes.equipment/room_equipment.room,activerecord.models.room,activerecord.models.room,activerecord.models.room
activerecord.attributes.katei.course_category,activerecord.models.course_category,activerecord.models.course_category,activerecord.models.course_category
activerecord.attributes.katei.faicon,share-alt,share-alt,共享ALT
activerecord.attributes.katei.price,値段,price,价格
activerecord.attributes.klass.area,activerecord.models.area,activerecord.models.area,activerecord.models.area
activerecord.attributes.klass.course,activerecord.models.course,activerecord.models.course,activerecord.models.course
activerecord.attributes.klass.faicon,users,users,users
activerecord.attributes.klass.finish_date,終了日,End date,结束日期
activerecord.attributes.klass.start_date,開始日,start date,开始日期
activerecord.attributes.klass.students,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.klass_subject.faicon,book,book,book
activerecord.attributes.klass_subject.hours,講義時間,Lecture time,讲座时间
activerecord.attributes.klass_subject.klass,activerecord.models.klass,activerecord.models.klass,activerecord.models.klass
activerecord.attributes.klass_subject.klass_unlimited,他クラス可,Other classes allowed,可以他班
activerecord.attributes.klass_subject.lecture_num,講義回数,Times,次数
activerecord.attributes.klass_subject.staff,主担任,Principal assignment,主担任
activerecord.attributes.klass_subject.start_time,講義開始時間,Lecture start time,讲座开始时间
activerecord.attributes.klass_subject.subject,activerecord.models.subject,activerecord.models.subject,activerecord.models.subject
activerecord.attributes.klass_subject.total_hours,合計時間,total time,总时间
activerecord.attributes.lecture.confirmed,承認/未/否認,Approval / denial,准许/未/否认
activerecord.attributes.lecture.confirmer,承認者,Authorizer,批准人
activerecord.attributes.lecture.faicon,graduation-cap,graduation-cap,graduation-cap
activerecord.attributes.lecture.finish_time,終了時刻,End time,结束时刻
activerecord.attributes.lecture.klass,activerecord.models.klass,activerecord.models.klass,activerecord.models.klass
activerecord.attributes.lecture.klass_subject,activerecord.models.klass_subject,activerecord.models.klass_subject,activerecord.models.klass_subject
activerecord.attributes.lecture.lecture_staffs,activerecord.models.lecture_staff,activerecord.models.lecture_staff,activerecord.models.lecture_staff
activerecord.attributes.lecture.lecture_time,授業時間,class time,上课时间
activerecord.attributes.lecture.reserve,activerecord.models.reserve,activerecord.models.reserve,activerecord.models.reserve
activerecord.attributes.lecture.staffs,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.lecture.start_time,開始時刻,Start time,开始时刻
activerecord.attributes.lecture.student,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.lecture.students,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.lecture.subject,activerecord.models.subject,activerecord.models.subject,activerecord.models.subject
activerecord.attributes.lecture.subject_type,activerecord.models.subject_type,activerecord.models.subject_type,activerecord.models.subject_type
activerecord.attributes.lecture.time_changeable,時間変更可,Time changeable,时间多变
activerecord.attributes.lecture/lecture_staffs.staff,スタッフ,staff,员工
activerecord.attributes.lecture/work_kinds.faicon,folder-open,folder-open,文件夹打开
activerecord.attributes.lecture/work_kinds.name,業務種別,Business type,业务类型
activerecord.attributes.lecture_staff.confirmed_salary,給料(承認済),Salary (approved),薪酬（已批准）
activerecord.attributes.lecture_staff.extraction_month,抽出月,Extraction month,提取月份
activerecord.attributes.lecture_staff.faicon,user-plus,user-plus,user-plus
activerecord.attributes.lecture_staff.lecture,activerecord.models.lecture,activerecord.models.lecture,activerecord.models.lecture
activerecord.attributes.lecture_staff.lecture_day,授業日,Class day,上课日
activerecord.attributes.lecture_staff.staff,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.lecture_staff.work_kind,activerecord.models.work_kind,activerecord.models.work_kind,activerecord.models.work_kind
activerecord.attributes.lecture_student.faicon,user,user,user
activerecord.attributes.lecture_student.finished,終了の可否,Whether to terminate,结束可否
activerecord.attributes.lecture_student.lecture,activerecord.models.lecture,activerecord.models.lecture,activerecord.models.lecture
activerecord.attributes.lecture_student.student,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.reserve.approved,承認/未/否認,Approval / denial,准许/未/否认
activerecord.attributes.reserve.approver,承認者,Authorizer,批准人
activerecord.attributes.reserve.building,activerecord.models.building,activerecord.models.building,activerecord.models.building
activerecord.attributes.reserve.comment,概要,Overview,摘要
activerecord.attributes.reserve.faicon,calendar,calendar,calendar
activerecord.attributes.reserve.finish_time,終了時刻,End time,结束时刻
activerecord.attributes.reserve.lecture,activerecord.models.lecture,activerecord.models.lecture,activerecord.models.lecture
activerecord.attributes.reserve.lecture_time,授業時間,class time,课业时间
activerecord.attributes.reserve.room,activerecord.models.room,activerecord.models.room,activerecord.models.room
activerecord.attributes.reserve.start_time,開始時刻,Start time,开始时刻
activerecord.attributes.role.faicon,lock,lock,lock
activerecord.attributes.role.staffs,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.room.building,activerecord.models.building,activerecord.models.building,activerecord.models.building
activerecord.attributes.room.equipments,activerecord.models.equipment,activerecord.models.equipment,activerecord.models.equipment
activerecord.attributes.room.faicon,cube,cube,cube
activerecord.attributes.room.room_equipments,備品,Fixtures,设备
activerecord.attributes.room.room_groups,activerecord.models.room_group,activerecord.models.room_group,activerecord.models.room_group
activerecord.attributes.room.seat_number,座席数,Number of seats,坐席数
activerecord.attributes.room.seat_number_gteq,下限数,Lower limit number,下限数量
activerecord.attributes.room.seat_number_lteq,上限数,Upper limit number,上限数量
activerecord.attributes.room.wday_0_close_time,日曜日終了時刻,Sunday end time,星期天结束时间
activerecord.attributes.room.wday_0_open_time,日曜日開始時刻,Sunday start time,星期天开始时间
activerecord.attributes.room.wday_1_close_time,月曜日終了時刻,Monday end time,星期一结束时间
activerecord.attributes.room.wday_1_open_time,月曜日開始時刻,Monday start time,星期一开始时间
activerecord.attributes.room.wday_2_close_time,火曜日終了時刻,Tuesday end time,星期二结束时间
activerecord.attributes.room.wday_2_open_time,火曜日開始時刻,Tuesday start time,星期二开始时间
activerecord.attributes.room.wday_3_close_time,水曜日終了時刻,Wednesday end time,星期三结束时间
activerecord.attributes.room.wday_3_open_time,水曜日開始時刻,Wednesday start time,星期三开始时间
activerecord.attributes.room.wday_4_close_time,木曜日終了時刻,End time on Thursday,星期四结束时间
activerecord.attributes.room.wday_4_open_time,木曜日開始時刻,Thursday start time,星期四开始时间
activerecord.attributes.room.wday_5_close_time,金曜日終了時刻,Friday end time,星期五结束时间
activerecord.attributes.room.wday_5_open_time,金曜日開始時刻,Friday start time,星期五开始时间
activerecord.attributes.room.wday_6_close_time,土曜日終了時刻,Saturday end time,星期六结束时间
activerecord.attributes.room.wday_6_open_time,土曜日開始時刻,Saturday start time,星期六开始时间
activerecord.attributes.room.weekday_close_time,週初終了時刻,Week's initial ending time,周的最初结束时间
activerecord.attributes.room.weekday_open_time,週初開始時刻,Weekly start time,每周开始时间
activerecord.attributes.room.weekday_time,週初時刻,First week time,第一周的时间
activerecord.attributes.room.weekend_close_time,週末終了時刻,Weekend end time,周末结束时间
activerecord.attributes.room.weekend_open_time,週末開始時刻,Weekend start time,周末开始时间
activerecord.attributes.room.weekend_time,週末時刻,Weekend time,周末时间
activerecord.attributes.room/room_equipment.available,利用可能,Available,可以使用
activerecord.attributes.room/room_equipment.equipment,activerecord.models.equipment,activerecord.models.equipment,activerecord.models.equipment
activerecord.attributes.room/room_equipment.room,activerecord.models.room,activerecord.models.room,activerecord.models.room
activerecord.attributes.room_equipment.available,利用可能,Available,可以使用
activerecord.attributes.room_equipment.equipment,activerecord.models.equipment,activerecord.models.equipment,activerecord.models.equipment
activerecord.attributes.room_equipment.room,activerecord.models.room,activerecord.models.room,activerecord.models.room
activerecord.attributes.room_group.faicon,tag,tag,tag
activerecord.attributes.room_group.rooms,activerecord.models.room,activerecord.models.room,activerecord.models.room
activerecord.attributes.room_group.rules,ルール,rule,规则
activerecord.attributes.staff.birthday,生年月日,Birthday,出生日期
activerecord.attributes.staff.email,メールアドレス,mail address,电子邮箱
activerecord.attributes.staff.faicon,user-o,user-o,user-o
activerecord.attributes.staff.mentee,担当者,Person in charge,负责人
activerecord.attributes.staff.name,氏名,Name,姓名
activerecord.attributes.staff.roles,activerecord.models.role,activerecord.models.role,activerecord.models.role
activerecord.attributes.staff.staff_wages,activerecord.models.staff_wage,activerecord.models.staff_wage,activerecord.models.staff_wage
activerecord.attributes.staff.subjects,担当課目,Department in charge,主管部门
activerecord.attributes.staff.tel,電話番号,phone number,电话号码
activerecord.attributes.staff.user,activerecord.models.user,activerecord.models.user,activerecord.models.user
activerecord.attributes.staff_wage.faicon,yen,yen,yen
activerecord.attributes.staff_wage.staff,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.staff_wage.wage,時給額,Hourly wage,计时工资額
activerecord.attributes.staff_wage.work_kind,activerecord.models.work_kind,activerecord.models.work_kind,activerecord.models.work_kind
activerecord.attributes.student.application_number,アプリID,Application ID,程序ID
activerecord.attributes.student.application_type,アプリ名,app name,程序名
activerecord.attributes.student.courses,activerecord.models.course,activerecord.models.course,activerecord.models.course
activerecord.attributes.student.faicon,user,user,user
activerecord.attributes.student.klasses,activerecord.models.klass,activerecord.models.klass,activerecord.models.klass
activerecord.attributes.student.lectures,activerecord.models.lecture,activerecord.models.lecture,activerecord.models.lecture
activerecord.attributes.student.mentor,担当主任,Supervisor,首席
activerecord.attributes.student.name,氏名,Name,姓名
activerecord.attributes.student.code,学籍番号,Student number,学生号码
activerecord.attributes.student.sex,性別,sex,性别
activerecord.attributes.student.student_mentors,activerecord.models.student_mentor,activerecord.models.student_mentor,activerecord.models.student_mentor
activerecord.attributes.student.student_point,activerecord.models.student_point,activerecord.models.student_point,activerecord.models.student_point
activerecord.attributes.student.tel,電話番号,phone number,电话号码
activerecord.attributes.student/student_mentor.staff,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.student_mentor.staff,activerecord.models.staff,activerecord.models.student,activerecord.models.staff
activerecord.attributes.student_point.faicon,ticket,ticket,ticket
activerecord.attributes.student_point.paid,支払済み,paid,付讫
activerecord.attributes.student_point.reserved,使用予定,To be used,使用打算
activerecord.attributes.student_point.student,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.student_point.total,総計,Grand total,总计
activerecord.attributes.student_point.used,使用済み,Already used,使用完
activerecord.attributes.subject.courses,activerecord.models.course,activerecord.models.course,activerecord.models.course
activerecord.attributes.subject.faicon,book,book,book
activerecord.attributes.subject.lectures,activerecord.models.lecture,activerecord.models.lecture,activerecord.models.lecture
activerecord.attributes.subject.personal,個人授業,Individual class,个人课
activerecord.attributes.subject.staffs,担当講師,Instructor,教练
activerecord.attributes.subject.subject_category,activerecord.models.subject_category,activerecord.models.subject_category,activerecord.models.subject_category
activerecord.attributes.subject_category.faicon,folder-open,folder-open,folder-open
activerecord.attributes.subject_type.available_room_groups,利用可能な部屋種別,Available room types,可以使用房型
activerecord.attributes.subject_type.color,種類,type,类
activerecord.attributes.subject_type.faicon,file,file,file
activerecord.attributes.subject_type.room_groups,activerecord.models.subject_type_room_group,activerecord.models.subject_type_room_group,activerecord.models.subject_type_room_group
activerecord.attributes.work_kind.faicon,folder-open,folder-open,folder-open
activerecord.attributes.work_kind.name,業務種別,Business type,业务类别
activerecord.attributes.student_billing.faicon,shopping-cart,shopping-cart,购物推车
activerecord.attributes.student_billing.student,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.student_billing.student_billing_details,activerecord.models.student_billing_detail,activerecord.models.student_billing_detail,activerecord.models.student_billing_detail
activerecord.attributes.student_billing.total,総計,Grand total,总
activerecord.attributes.student_billing_detail.student_billing,activerecord.models.student_billing,activerecord.models.student_billing,activerecord.models.student_billing
activerecord.attributes.student_billing_detail.item,品目,Item,项目
activerecord.attributes.student_billing_detail.unit_price,単価,unit price,单价
activerecord.attributes.student_billing_detail.number,個数,Quantity,数
activerecord.attributes.student_billing_detail.price,金額,Amount of money,的金额
activerecord.attributes.student_billing_detail.final_price,金額,Amount of money,的金额
activerecord.attributes.student_billing_detail.memo,備考,Remarks,备注
activerecord.attributes.student_billing_detail.student_billing_detail_discount,activerecord.models.student_billing_detail_discount,activerecord.models.student_billing_detail_discount,activerecord.models.student_billing_detail_discount
activerecord.attributes.student_billing_detail.discount,activerecord.models.student_billing_detail_discount,activerecord.models.student_billing_detail_discount,activerecord.models.student_billing_detail_discount
activerecord.attributes.student_billing_detail_discount.student_billing_detail,activerecord.models.student_billing_detail,activerecord.models.student_billing_detail,activerecord.models.student_billing_detail
activerecord.attributes.student_billing_detail_discount.discount_type,activerecord.models.discount_type,activerecord.models.discount_type,activerecord.models.discount_type
activerecord.attributes.student_billing_detail_discount.price,値引き額,Discount amount,折扣金额
activerecord.attributes.student_billing_detail_discount.discount_memo,その他理由,Other reasons,其他原因
activerecord.attributes.student_payment.faicon,credit-card,credit-card,信用卡
activerecord.attributes.student_payment.student,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.student_payment.paymethod,activerecord.models.paymethod,activerecord.models.paymethod,activerecord.models.paymethod
activerecord.attributes.student_payment.pay_date,支払日,Payment date,付款日期
activerecord.attributes.student_payment.receiver,受領者,Recipient,接受者
activerecord.attributes.student_payment.price,額,amount,前额
activerecord.attributes.student_payment.gen,元,Original,起源
activerecord.attributes.student_commission.faicon,gift,gift,礼品
activerecord.attributes.student_commission.student,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.student_commission.referral_type,紹介種別,Introduction type,介绍类型
activerecord.attributes.student_commission.referral,紹介者,introducer,介绍人
activerecord.attributes.student_commission.inflow_source,activerecord.models.inflow_source,activerecord.models.inflow_source,activerecord.models.inflow_source
activerecord.attributes.student_commission.cache_back_type,activerecord.models.cache_back_type,activerecord.models.cache_back_type,activerecord.models.cache_back_type
activerecord.attributes.student_commission.referral_fee,紹介料,Referral fee,推荐费
activerecord.attributes.student_balance.faicon,balance-scale,balance-scale,资产负债规模
activerecord.attributes.student_balance.student,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.student_balance.billings_total,請求総額,Total amount billed,已开帐单总额
activerecord.attributes.student_balance.payments_total,支払総額,Total to pay,付款总额
activerecord.attributes.student_balance.price,残額,Balance,剩余量
activerecord.attributes.discount_type.price,額,amount,前额
activerecord.attributes.discount_type.rate,率,rate,率
activerecord.attributes.vip_price.hours_min,最小時間,Minimum time,最短时间
activerecord.attributes.vip_price.hours_max,最大時間,Maximum time,最长时间
activerecord.attributes.vip_price.unit_price,時単価,Hourly rate,每小时费率
activerecord.models.user,ユーザー,User,用户
activerecord.models.area,エリア,area,场所
activerecord.models.building,建物,building,建筑物
activerecord.models.course,コース,course,课程
activerecord.models.course_category,コースカテゴリー,Course category,课程类别
activerecord.models.equipment,備品,Fixtures,设备
activerecord.models.katei,課程（購買）,Course,课程
activerecord.models.klass,クラス,Team,班
activerecord.models.klass_subject,講座,Course,讲座
activerecord.models.lecture,授業,Lesson,课业
activerecord.models.lecture_staff,講師/給料,Lecturer,讲师
activerecord.models.lecture_student,受講,Attendance,受训
activerecord.models.province,空間,space,空间
activerecord.models.reserve,予約,Reservation,预订
activerecord.models.role,権限,Authority,权限
activerecord.models.room,部屋,room,房间
activerecord.models.room_group,部屋種別,Room type,房间类别
activerecord.models.staff,スタッフ,staff,人员
activerecord.models.staff_role,スタッフ権限,Staff authority,人员权限
activerecord.models.staff_wage,時給,Hourly wage,计时工资
activerecord.models.student,学生,A student,生徒
activerecord.models.student_mentor,担当者,Person in charge,老師
activerecord.models.student_point,ポイント,point,得分
activerecord.models.student_point_log,ポイントログ,Point log,得分日志
activerecord.models.student_balance,未払金,Unpaid,应付帐款
activerecord.models.student_billing,購買,purchase,购买
activerecord.models.student_billing_detail,内訳,Breakdown,击穿
activerecord.models.student_billing_detail_discount,値引,discount,折扣
activerecord.models.student_payment,支払,payment,付款
activerecord.models.student_commission,出金,Withdrawal,提款
activerecord.models.vip_price,VIP単価,VIP unit price,VIP单价
activerecord.models.discount_type,値引き種別,Discount type,折扣类型
activerecord.models.cache_back_type,キャッシュバック種別,Cash back type,现金返还类型
